"IN_PRESENCA_CN";"IN_PRESENCA_CH";"IN_PRESENCA_LC";"IN_PRESENCA_MT";"NOTA_CN";"NOTA_CH";"NOTA_LC";"NOTA_MT";"IN_STATUS_REDACAO";"NU_NOTA_REDACAO";"COD_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"UF_RESIDENCIA";"ID_DEPENDENCIA_ADM_ESC";"ID_LOCALIZACAO_ESC";"IDADE";"TP_SEXO";"ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q003";"Q005";"Q010";"Q011";"Q017"
1;1;1;1;509,2;601;531,9;499,6;7;767;2507507;"JOAO PESSOA";"PB";"";"";22;"F";1;2;3;0;0;0;1;0;0;0;0;0;0;"I";"G";"F";"B";"A";"A";"A"
1;1;1;1;466,4;590,9;500,9;431,3;7;320;1500800;"ANANINDEUA";"PA";"";"";43;"F";1;1;1;0;0;0;0;0;0;1;0;0;0;"A";"A";"C";"A";"A";"D";"D"
1;1;1;1;488,4;574,1;419,3;393,7;7;520;1508100;"TUCURUI";"PA";"";"";17;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"C";"A";"D";"D";"A"
1;1;1;1;457,2;539,8;462,9;375,7;7;440;3304557;"RIO DE JANEIRO";"RJ";"";"";26;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"C";"B";"C";"A";"A";"D";"A"
1;1;1;1;370,9;453,3;363,1;459,8;7;134;3301702;"DUQUE DE CAXIAS";"RJ";"";"";26;"M";1;1;3;0;0;0;1;0;0;0;0;0;0;"I";"I";"C";"A";"A";"D";"A"
1;1;1;1;500,1;622,6;595,6;563,1;7;680;3303302;"NITEROI";"RJ";"";"";40;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"A";"B";"G";"A";"A";"A";"A"
1;1;1;1;547;657,6;605,8;496,2;7;680;5300108;"BRASILIA";"DF";"";"";31;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"C";"A";"D";"A"
1;1;1;1;533,6;613,2;540,2;413,6;7;580;3534401;"OSASCO";"SP";"4";"1";21;"M";2;2;3;0;0;0;0;0;1;0;0;0;0;"I";"C";"C";"D";"D";"D";"A"
1;1;1;1;352;486,9;366,6;373,9;7;667;4314902;"PORTO ALEGRE";"RS";"";"";59;"F";1;1;1;1;0;0;1;0;0;0;0;0;0;"A";"A";"C";"A";"A";"D";"A"
1;1;1;1;525,1;609,2;559,7;647,5;7;720;3153301;"PRESIDENTE KUBITSCHEK";"MG";"";"";18;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"H";"K";"A";"B";"D";"C"
1;1;1;1;643,2;647,9;588,5;707,1;7;720;2304400;"FORTALEZA";"CE";"";"";19;"M";1;2;1;0;0;0;0;0;0;0;1;0;0;"F";"F";"J";"B";"A";"A";"A"
1;1;1;1;622,6;638,3;619,5;516,4;7;820;3550308;"SAO PAULO";"SP";"";"";28;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"G";"G";"L";"A";"B";"C";"C"
1;1;1;1;387,6;458,2;450,2;355,9;7;420;2304400;"FORTALEZA";"CE";"";"";24;"M";1;1;3;0;0;0;0;0;0;1;0;0;0;"F";"G";"B";"C";"D";"D";"D"
1;1;1;1;383,8;475,5;342;437,3;7;516;2927408;"SALVADOR";"BA";"";"";24;"F";1;1;3;0;0;0;1;0;0;0;0;0;0;"E";"E";"B";"D";"A";"D";"A"
1;1;1;1;382,6;504,8;388,1;335,7;7;240;2408003;"MOSSORO";"RN";"";"";33;"M";1;2;2;0;0;0;0;0;1;0;0;0;0;"B";"C";"C";"C";"A";"D";"A"
1;1;1;1;667,6;697,4;613,5;794,4;7;580;3519071;"HORTOLANDIA";"SP";"4";"1";17;"F";2;2;1;1;0;0;0;0;0;0;0;0;0;"E";"G";"G";"A";"A";"A";"A"
1;1;1;1;520,3;496,2;478,5;355,6;7;580;2611606;"RECIFE";"PE";"4";"1";19;"F";2;2;2;0;0;0;0;0;0;0;1;0;0;"G";"H";"C";"B";"A";"D";"B"
1;1;1;1;586,1;604,4;443,9;625,3;7;750;2408102;"NATAL";"RN";"";"";25;"M";1;2;4;0;0;0;0;0;0;0;0;1;0;"F";"F";"F";"D";"B";"B";"A"
1;1;1;1;526;549,4;513,3;558,5;7;600;3205200;"VILA VELHA";"ES";"";"";29;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"I";"I";"C";"C";"A";"D";"A"
1;1;1;1;580,3;575;546,3;480,6;7;760;2928703;"SANTO ANTONIO DE JESUS";"BA";"";"";16;"M";3;0;0;0;0;0;0;0;1;0;0;0;0;"I";"I";"B";"A";"A";"A";"A"
1;1;1;1;468,9;567,2;523,9;464,8;7;540;3534401;"OSASCO";"SP";"";"";26;"M";1;1;1;1;0;0;0;0;0;0;0;0;0;"G";"B";"E";"C";"D";"D";"D"
1;1;1;1;595,5;647,4;447,4;525,7;7;800;2918001;"JEQUIE";"BA";"";"";17;"M";3;0;3;0;0;0;0;0;1;0;0;0;0;"G";"F";"J";"D";"C";"A";"A"
1;1;1;1;395,4;487,7;457,7;452,8;7;420;2611101;"PETROLINA";"PE";"";"";49;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"C";"E";"D";"A";"A";"A"
1;1;1;1;451,4;580,3;529,6;383,8;7;517;4314407;"PELOTAS";"RS";"";"";30;"M";4;0;3;0;0;0;1;0;0;0;0;0;0;"D";"E";"B";"A";"A";"D";"A"
1;1;1;1;547,2;546,5;473,1;349,4;7;560;1501402;"BELEM";"PA";"";"";29;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"D";"C";"A";"A";"D";"A"
1;1;1;1;402,5;491,5;396,4;336,3;7;192;3539806;"POA";"SP";"";"";31;"F";1;1;1;0;0;0;1;0;0;0;0;0;0;"E";"E";"E";"A";"A";"A";"A"
1;1;1;1;501,1;549,5;455,6;475;7;480;3162500;"SAO JOAO DEL REI";"MG";"";"";18;"F";3;0;3;0;0;0;0;0;0;0;1;0;0;"D";"D";"H";"A";"B";"D";"B"
1;1;1;1;612,8;662,5;583,5;530,4;7;740;2408003;"MOSSORO";"RN";"";"";19;"M";1;2;1;0;0;0;0;0;1;0;0;0;0;"E";"G";"M";"A";"B";"A";"A"
1;1;1;1;553,6;627,7;557,2;459,2;7;400;3136702;"JUIZ DE FORA";"MG";"2";"1";24;"M";2;1;2;0;0;0;0;0;1;0;0;0;0;"A";"B";"D";"C";"A";"D";"A"
1;1;1;1;719,9;650,1;321,9;517;7;475;3530607;"MOGI DAS CRUZES";"SP";"";"";19;"M";1;2;1;0;0;0;0;0;0;0;0;1;0;"G";"G";"Q";"A";"A";"B";"A"
1;1;1;1;406,2;486,4;435,7;404,9;7;450;3168606;"TEOFILO OTONI";"MG";"";"";24;"F";1;1;3;0;0;0;1;0;0;0;0;0;0;"B";"F";"C";"A";"D";"D";"D"
1;1;1;1;567,8;534,8;397,4;447,1;7;220;4314407;"PELOTAS";"RS";"";"";44;"F";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"C";"D";"A";"A";"D";"A"
1;1;1;1;384,4;534,2;473;542,9;7;600;2507507;"JOAO PESSOA";"PB";"";"";24;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"E";"D";"A";"A";"D";"A"
1;1;1;1;438,9;426,2;518,4;389,6;7;560;3170701;"VARGINHA";"MG";"";"";16;"F";3;0;1;0;0;0;0;0;1;0;0;0;0;"B";"C";"C";"A";"A";"A";"A"
1;1;1;1;590,6;602,4;568,5;567,6;7;660;3106200;"BELO HORIZONTE";"MG";"";"";21;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"G";"G";"E";"A";"A";"A"
1;1;1;1;461;484,8;520;526;7;260;3550308;"SAO PAULO";"SP";"";"";21;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"I";"C";"B";"A";"A";"D";"A"
1;1;1;1;561,2;588,5;547,1;661,9;7;460;3506508;"BIRIGUI";"SP";"";"";20;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"I";"G";"E";"A";"A";"A";"A"
1;1;1;1;458,2;515,2;523,9;525,5;7;280;2931350;"TEIXEIRA DE FREITAS";"BA";"";"";42;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"D";"A";"D";"A"
1;1;1;1;467,4;350,5;399,8;431,5;7;340;1501402;"BELEM";"PA";"";"";28;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"D";"D";"A";"A";"D";"D"
1;1;1;1;610,2;641,7;558,2;637,6;7;750;5300108;"BRASILIA";"DF";"";"";28;"M";1;1;3;1;0;0;0;0;0;0;1;1;0;"E";"E";"I";"D";"C";"B";"A"
1;1;1;1;542,8;637,7;580,6;556,7;7;792;5211503;"ITUMBIARA";"GO";"";"";25;"M";1;1;3;0;0;0;1;0;0;0;0;0;0;"B";"F";"C";"C";"A";"A";"A"
1;1;1;1;402,9;435,5;472,7;467,3;7;566;2304400;"FORTALEZA";"CE";"";"";28;"M";1;1;1;0;0;1;0;0;0;0;0;0;0;"E";"F";"D";"C";"D";"A";"A"
1;1;1;1;490;638,8;560;448,6;7;240;3131307;"IPATINGA";"MG";"";"";33;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"B";"B";"A";"D";"A";"D";"D"
1;1;1;1;639,8;638,2;608,6;453,6;7;825;3503208;"ARARAQUARA";"SP";"";"";23;"F";1;2;1;0;0;0;0;0;0;0;1;1;0;"D";"G";"G";"A";"B";"B";"A"
1;1;1;1;510,6;524,7;445,3;421;7;380;4106902;"CURITIBA";"PR";"";"";21;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"C";"E";"B";"D";"D";"D"
1;1;1;1;441,8;573,9;523,2;363,3;7;460;2507507;"JOAO PESSOA";"PB";"";"";31;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"B";"D";"D";"A";"D";"A"
1;1;1;1;600,8;603,5;487;665;7;560;1505502;"PARAGOMINAS";"PA";"";"";18;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"H";"E";"A";"A";"C";"A"
1;1;1;1;571;600;602,3;434,2;7;840;3550308;"SAO PAULO";"SP";"";"";21;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"C";"F";"C";"B";"A";"A"
1;1;1;1;403,5;405,4;422,1;456,3;7;220;3304557;"RIO DE JANEIRO";"RJ";"";"";34;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"B";"B";"C";"D";"D";"D"
1;1;1;1;451,5;558,2;487,8;411,1;7;380;2112209;"TIMON";"MA";"";"";39;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"A";"B";"B";"A";"D";"D";"D"
1;1;1;1;507,5;521,9;470,3;492,4;7;300;3550308;"SAO PAULO";"SP";"";"";42;"F";4;0;3;1;0;0;0;0;0;0;0;0;0;"A";"B";"C";"D";"A";"A";"A"
1;1;1;1;603,5;685,1;654,8;679,2;7;600;1501402;"BELEM";"PA";"";"";43;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"C";"N";"C";"A";"A";"A"
1;1;1;1;572,9;595,5;609,1;495,1;7;640;1200401;"RIO BRANCO";"AC";"";"";20;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"C";"E";"B";"A";"A";"D";"A"
1;1;1;1;437;597,8;453,1;540,5;7;600;2918407;"JUAZEIRO";"BA";"";"";37;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"B";"A";"A";"D";"A"
1;1;1;1;695,2;695,4;579,7;792,2;7;640;1501402;"BELEM";"PA";"";"";39;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"C";"C";"I";"A";"A";"A";"A"
