"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q024";"Q010";"Q025";"Q027"
1;1;1;1;524,1;573,9;512,6;563,8;1;640;3151800;"Po<e7>os de Caldas";"MG";"";"";34;"M";1;1;1;1;0;0;0;0;0;0;0;0;0;"B";"B";"E";"B";"A";"B";"A"
1;1;1;1;589,7;648;630,5;660,9;1;820;2931350;"Teixeira de Freitas";"BA";"";"";25;"M";1;1;2;0;0;0;0;0;0;0;1;0;0;"A";"E";"A";"B";"A";"B";"A"
1;1;1;1;434,8;550,5;547;388;1;680;2209104;"Santa Cruz do Piau<ed>";"PI";"";"";36;"M";1;1;3;1;0;0;0;0;0;0;1;1;0;"B";"F";"B";"B";"A";"B";"A"
1;1;1;1;401,1;533,1;376,8;371,3;1;320;2507507;"Jo<e3>o Pessoa";"PB";"2";"1";22;"M";2;2;3;0;0;0;1;0;1;0;0;0;0;"B";"B";"D";"B";"A";"B";"A"
1;1;1;1;447;568,8;539,4;637,7;1;520;2927408;"Salvador";"BA";"";"";22;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"E";"D";"B";"B";"A";"B";"E"
1;1;1;1;520,5;649,8;526,5;569,4;1;420;1302603;"Manaus";"AM";"";"";33;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"C";"C";"A";"A";"A";"A"
1;1;1;1;494,8;614,4;602,6;465,8;1;520;3552809;"Tabo<e3>o da Serra";"SP";"";"";23;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"E";"A";"A";"A";"A"
1;1;1;1;381;584,4;501;438,9;1;500;3304557;"Rio de Janeiro";"RJ";"";"";43;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"E";"E";"C";"B";"A";"B";"F"
1;1;1;1;562,5;529,4;496,2;427,3;1;360;5205109;"Catal<e3>o";"GO";"";"";20;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"E";"F";"B";"B";"B";"A"
1;1;1;1;601,6;687;596,6;717,3;1;740;3165537;"Sarzedo";"MG";"";"";22;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"E";"D";"B";"A";"B";"A"
1;1;1;1;559;600,3;507,3;445,9;1;700;1502103;"Camet<e1>";"PA";"";"";19;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"C";"A";"A";"A";"B";"A"
1;1;1;1;408,1;619;524,5;454,8;1;340;4216602;"S<e3>o Jos<e9>";"SC";"";"";30;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"A";"D";"C";"B";"A";"B";"A"
1;1;1;1;452,1;673,1;646,2;448,6;1;640;3550308;"S<e3>o Paulo";"SP";"";"";40;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"A";"C";"G";"A";"A";"B";"A"
1;1;1;1;409,3;601,4;518,1;493;1;520;3205002;"Serra";"ES";"";"";32;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"D";"E";"F";"B";"B";"B";"A"
1;1;1;1;483,6;590,5;502,7;487;1;480;5300108;"Bras<ed>lia";"DF";"";"";31;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"H";"B";"A";"B";"B";"A"
1;1;1;1;493,5;635,8;592,5;615,2;1;400;3549953;"S<e3>o Louren<e7>o da Serra";"SP";"2";"1";17;"M";2;2;1;1;0;0;0;0;0;0;0;0;0;"F";"E";"C";"A";"A";"A";"A"
1;1;1;1;439,8;408,7;450,2;384,2;1;280;1714203;"Natividade";"TO";"";"";24;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"H";"E";"B";"A";"A";"A";"A"
1;1;1;1;548,1;620,5;538,1;546,4;1;540;5003207;"Corumb<e1>";"MS";"";"";44;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"D";"A";"A";"A";"A"
1;1;1;1;443,5;612,8;490,3;624,4;1;760;3301009;"Campos dos Goytacazes";"RJ";"";"";26;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"E";"A";"A";"B";"A"
1;1;1;1;570;636,1;570,7;624,9;1;880;2608909;"Limoeiro";"PE";"";"";20;"M";1;1;1;1;0;0;0;0;0;0;0;0;0;"D";"F";"C";"B";"B";"B";"D"
1;1;1;1;573;587,5;614,5;533,9;1;600;3205309;"Vit<f3>ria";"ES";"";"";24;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"H";"C";"D";"B";"A";"B";"A"
1;1;1;1;433;419,5;473,3;403,2;1;340;3135100;"Jana<fa>ba";"MG";"";"";20;"F";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"E";"B";"B";"A";"B";"A"
1;1;1;1;432,6;608,1;486,8;407;1;740;3513801;"Diadema";"SP";"";"";20;"F";1;1;1;0;0;0;1;0;0;0;0;0;0;"H";"H";"B";"B";"B";"B";"A"
